emp_id,emp_name,manager_id,role,department,salary,hire_date,city
1,Alice Sharma,,CEO,Executive,250000,2015-01-15,Bengaluru
2,VP_2,1,VP Ops,Finance,176000,2016-06-01,Bengaluru
3,VP_3,1,VP Ops,HR,174000,2016-06-01,Bengaluru
4,VP_4,1,VP Finance,Operations,172000,2016-06-01,Bengaluru
5,VP_5,1,VP Eng,Marketing,170000,2016-06-01,Bengaluru
6,Mgr_6,5,Manager,HR,98485,2019-06-21,Kolkata
7,Mgr_7,4,Manager,Finance,121511,2018-11-04,Jaipur
8,Mgr_8,3,Manager,Operations,109386,2018-07-30,Lucknow
9,Mgr_9,2,Manager,HR,119535,2021-07-09,Mumbai
10,Mgr_10,2,Manager,Engineering,129088,2021-03-18,Ahmedabad
11,Mgr_11,4,Manager,Marketing,101386,2021-06-10,Jaipur
12,Mgr_12,3,Manager,Finance,127350,2019-05-23,Mumbai
13,Mgr_13,5,Manager,Operations,107017,2018-09-26,Mumbai
14,Mgr_14,3,Manager,Finance,98299,2020-05-17,Pune
15,Mgr_15,4,Manager,Finance,120791,2018-04-14,Delhi
16,Mgr_16,4,Manager,Finance,128806,2018-05-27,Bengaluru
17,Mgr_17,4,Manager,Operations,113837,2020-08-19,Lucknow
18,Mgr_18,2,Manager,Marketing,124654,2019-06-19,Chennai
19,Mgr_19,4,Manager,Operations,112986,2020-02-15,Pune
20,Mgr_20,2,Manager,Operations,99659,2019-04-02,Hyderabad
21,Emp_21,9,Executive,Marketing,38661,2023-01-07,Ahmedabad
22,Emp_22,17,Engineer,Finance,85605,2019-02-11,Kolkata
23,Emp_23,19,Analyst,Engineering,83086,2020-05-05,Lucknow
24,Emp_24,11,Associate,Operations,54166,2020-05-03,Pune
25,Emp_25,20,Specialist,Finance,84120,2023-05-24,Hyderabad
26,Emp_26,19,Executive,Finance,36346,2023-03-01,Ahmedabad
27,Emp_27,9,Engineer,Sales,69278,2019-12-01,Mumbai
28,Emp_28,16,Engineer,Support,39677,2020-01-09,Kolkata
29,Emp_29,10,Analyst,Engineering,78254,2021-11-12,Mumbai
30,Emp_30,11,Executive,Marketing,85342,2021-10-12,Jaipur
31,Emp_31,14,Associate,Sales,85280,2021-08-09,Ahmedabad
32,Emp_32,6,Specialist,Engineering,59243,2023-10-19,Bengaluru
33,Emp_33,13,Engineer,Finance,59315,2022-08-14,Bengaluru
34,Emp_34,16,Specialist,Sales,60220,2022-10-01,Chennai
35,Emp_35,8,Specialist,HR,46750,2020-06-06,Chennai
36,Emp_36,8,Specialist,Marketing,64688,2019-11-10,Bengaluru
37,Emp_37,18,Specialist,Finance,69424,2019-04-18,Hyderabad
38,Emp_38,17,Specialist,Engineering,66540,2021-11-17,Lucknow
39,Emp_39,18,Analyst,HR,74601,2021-11-25,Ahmedabad
40,Emp_40,13,Executive,Sales,80899,2022-08-27,Chennai
41,Emp_41,15,Associate,Finance,63485,2023-09-08,Chennai
42,Emp_42,12,Associate,Support,42132,2023-07-19,Jaipur
43,Emp_43,10,Executive,Marketing,52544,2019-08-09,Lucknow
44,Emp_44,14,Analyst,Finance,94931,2021-01-12,Ahmedabad
45,Emp_45,17,Associate,Sales,69557,2019-12-06,Kolkata
46,Emp_46,18,Analyst,Operations,74629,2019-02-06,Mumbai
47,Emp_47,12,Executive,Engineering,55688,2022-05-20,Lucknow
48,Emp_48,11,Analyst,HR,53616,2021-07-03,Jaipur
49,Emp_49,19,Specialist,Engineering,58666,2022-08-09,Pune
50,Emp_50,17,Analyst,Sales,48420,2019-05-25,Ahmedabad
51,Emp_51,15,Analyst,Engineering,86968,2022-09-24,Chennai
52,Emp_52,16,Executive,Support,67447,2020-11-05,Kolkata
53,Emp_53,20,Engineer,Finance,89515,2021-05-16,Mumbai
54,Emp_54,19,Specialist,HR,58643,2022-07-15,Bengaluru
55,Emp_55,8,Engineer,Support,36336,2023-07-01,Bengaluru
56,Emp_56,18,Engineer,Sales,67683,2021-12-18,Kolkata
57,Emp_57,10,Associate,Support,71900,2020-12-31,Jaipur
58,Emp_58,16,Specialist,Engineering,85361,2019-01-11,Pune
59,Emp_59,7,Analyst,Marketing,49896,2021-11-16,Bengaluru
60,Emp_60,19,Specialist,Sales,41262,2022-06-11,Bengaluru
61,Emp_61,11,Analyst,HR,89701,2021-02-23,Lucknow
62,Emp_62,9,Analyst,Operations,71456,2021-08-15,Lucknow
63,Emp_63,20,Analyst,Operations,92081,2021-10-16,Hyderabad
64,Emp_64,16,Specialist,Support,47275,2020-01-02,Kolkata
65,Emp_65,20,Associate,Operations,75043,2021-09-01,Pune
66,Emp_66,9,Engineer,Engineering,83946,2020-12-13,Delhi
67,Emp_67,16,Executive,Support,86983,2020-02-27,Jaipur
68,Emp_68,13,Analyst,Support,78013,2019-02-23,Ahmedabad
69,Emp_69,11,Specialist,Finance,47636,2023-02-09,Mumbai
70,Emp_70,10,Executive,Marketing,77869,2022-05-31,Hyderabad
71,Emp_71,18,Engineer,Finance,81299,2022-03-02,Kolkata
72,Emp_72,16,Executive,Marketing,79468,2022-03-22,Kolkata
73,Emp_73,8,Executive,Operations,48271,2022-02-06,Hyderabad
74,Emp_74,6,Associate,Operations,89308,2019-10-16,Ahmedabad
75,Emp_75,13,Engineer,Support,58248,2021-07-11,Chennai
76,Emp_76,16,Specialist,Finance,56719,2019-01-12,Ahmedabad
77,Emp_77,6,Executive,Operations,42196,2022-01-14,Delhi
78,Emp_78,11,Engineer,Operations,94498,2019-08-31,Bengaluru
79,Emp_79,9,Engineer,Operations,69816,2021-06-08,Ahmedabad
80,Emp_80,8,Engineer,HR,58273,2022-03-31,Mumbai
81,Emp_81,10,Executive,Support,83615,2021-02-03,Kolkata
82,Emp_82,12,Engineer,Finance,61750,2023-07-09,Kolkata
83,Emp_83,17,Specialist,Operations,59670,2023-06-19,Bengaluru
84,Emp_84,7,Executive,Engineering,81948,2020-07-07,Chennai
85,Emp_85,10,Engineer,Support,40319,2019-01-03,Delhi
86,Emp_86,12,Executive,Marketing,64727,2021-02-14,Hyderabad
87,Emp_87,13,Executive,HR,90322,2022-08-08,Kolkata
88,Emp_88,11,Specialist,Sales,82521,2019-10-13,Lucknow
89,Emp_89,16,Specialist,HR,54717,2019-06-21,Bengaluru
90,Emp_90,11,Engineer,HR,69055,2020-10-26,Lucknow
91,Emp_91,6,Analyst,Sales,50968,2019-04-22,Lucknow
92,Emp_92,18,Executive,Support,62933,2023-04-08,Delhi
93,Emp_93,7,Executive,Operations,66800,2022-07-27,Bengaluru
94,Emp_94,19,Specialist,Support,41401,2023-09-12,Kolkata
95,Emp_95,19,Executive,Sales,90690,2023-09-12,Ahmedabad
96,Emp_96,9,Engineer,Marketing,48358,2023-05-09,Hyderabad
97,Emp_97,8,Associate,Finance,35004,2021-10-02,Jaipur
98,Emp_98,7,Specialist,Sales,72931,2020-02-19,Bengaluru
99,Emp_99,20,Associate,Support,77555,2021-02-12,Mumbai
100,Emp_100,11,Engineer,HR,42310,2023-10-25,Bengaluru
101,Emp_101,12,Specialist,Engineering,61037,2022-05-21,Bengaluru
102,Emp_102,9,Specialist,Support,92020,2021-07-30,Bengaluru
103,Emp_103,11,Associate,Engineering,52641,2019-08-31,Mumbai
104,Emp_104,13,Associate,Operations,91024,2022-10-26,Ahmedabad
105,Emp_105,13,Associate,HR,79219,2020-02-20,Mumbai
106,Emp_106,15,Associate,Marketing,62027,2021-06-26,Bengaluru
107,Emp_107,15,Associate,HR,79112,2019-04-10,Jaipur
108,Emp_108,13,Executive,Finance,62537,2023-08-22,Mumbai
109,Emp_109,19,Analyst,Sales,74654,2023-11-03,Jaipur
110,Emp_110,9,Engineer,Finance,78878,2023-03-18,Ahmedabad
111,Emp_111,14,Associate,Marketing,81671,2021-08-18,Ahmedabad
112,Emp_112,19,Associate,Finance,68321,2021-10-30,Delhi
113,Emp_113,10,Analyst,HR,57820,2022-06-27,Kolkata
114,Emp_114,14,Specialist,Finance,79994,2021-06-01,Delhi
115,Emp_115,13,Executive,Finance,47281,2022-11-26,Chennai
116,Emp_116,6,Engineer,Finance,81729,2021-06-20,Mumbai
117,Emp_117,20,Executive,Marketing,66989,2023-07-26,Pune
118,Emp_118,15,Executive,Engineering,42579,2023-07-22,Chennai
119,Emp_119,19,Analyst,HR,64643,2023-10-23,Delhi
120,Emp_120,17,Engineer,Engineering,89741,2020-11-01,Kolkata
121,Emp_121,13,Associate,Engineering,53155,2019-02-06,Jaipur
122,Emp_122,8,Associate,Sales,54252,2023-03-21,Kolkata
123,Emp_123,10,Associate,Operations,89385,2023-09-02,Mumbai
124,Emp_124,16,Analyst,HR,40225,2021-05-10,Pune
125,Emp_125,6,Associate,Marketing,78916,2022-08-03,Delhi
126,Emp_126,16,Analyst,Operations,41935,2021-02-04,Lucknow
127,Emp_127,12,Analyst,HR,70303,2019-06-25,Chennai
128,Emp_128,7,Associate,Engineering,58892,2019-08-06,Jaipur
129,Emp_129,17,Engineer,Operations,50814,2021-02-19,Lucknow
130,Emp_130,18,Engineer,Engineering,53072,2021-06-20,Lucknow
131,Emp_131,6,Executive,HR,83081,2020-09-17,Hyderabad
132,Emp_132,15,Executive,Engineering,85461,2020-12-11,Jaipur
133,Emp_133,7,Executive,Engineering,74639,2023-04-07,Chennai
134,Emp_134,15,Executive,Sales,67408,2022-02-20,Lucknow
135,Emp_135,20,Engineer,Support,81092,2022-07-05,Mumbai
136,Emp_136,15,Analyst,HR,86747,2023-09-21,Jaipur
137,Emp_137,15,Engineer,Engineering,75870,2021-10-22,Kolkata
138,Emp_138,16,Engineer,Operations,62705,2023-08-21,Jaipur
139,Emp_139,7,Executive,Marketing,91369,2019-06-15,Kolkata
140,Emp_140,20,Specialist,Support,82350,2021-03-07,Mumbai
141,Emp_141,7,Specialist,Support,65578,2022-11-03,Delhi
142,Emp_142,19,Associate,Marketing,45694,2019-01-05,Kolkata
143,Emp_143,20,Specialist,Engineering,71511,2019-03-03,Pune
144,Emp_144,17,Associate,Operations,57586,2022-02-09,Delhi
145,Emp_145,10,Engineer,Marketing,75833,2022-08-19,Ahmedabad
146,Emp_146,13,Associate,Operations,56122,2022-12-08,Ahmedabad
147,Emp_147,8,Executive,Engineering,37194,2020-04-17,Bengaluru
148,Emp_148,9,Engineer,Marketing,39227,2023-03-09,Jaipur
149,Emp_149,19,Specialist,Engineering,64315,2020-12-12,Lucknow
150,Emp_150,14,Associate,HR,46670,2023-05-03,Delhi
151,Emp_151,16,Executive,Finance,54906,2022-07-21,Ahmedabad
152,Emp_152,12,Executive,Operations,41589,2022-06-03,Hyderabad
153,Emp_153,15,Executive,Support,68164,2020-03-09,Delhi
154,Emp_154,11,Engineer,Finance,72525,2019-03-19,Mumbai
155,Emp_155,6,Analyst,Support,91439,2023-07-17,Kolkata
156,Emp_156,9,Analyst,Marketing,75813,2023-09-07,Delhi
157,Emp_157,8,Specialist,Support,66871,2022-11-29,Ahmedabad
158,Emp_158,6,Associate,Marketing,72830,2020-09-18,Delhi
159,Emp_159,12,Associate,Sales,50387,2022-06-17,Pune
160,Emp_160,17,Executive,Marketing,48009,2022-11-22,Hyderabad
161,Emp_161,10,Associate,Support,46916,2019-07-07,Chennai
162,Emp_162,14,Engineer,Engineering,42911,2020-10-03,Pune
163,Emp_163,13,Specialist,Finance,53118,2023-05-14,Mumbai
164,Emp_164,16,Executive,Support,41727,2020-03-07,Lucknow
